City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
281,Ostersund,SE,63.1792,14.6357,46.62,53,0,6.91,clear sky
282,Roebourne,AU,-20.7833,117.1333,82.06,48,98,12.59,overcast clouds
283,Ilulissat,GL,69.2167,-51.1,24.82,46,0,4.61,clear sky
284,Duldurga,RU,50.6761,113.5931,48.11,65,68,4.14,broken clouds
285,Ostrovnoy,RU,68.0531,39.5131,24.66,83,91,7.81,overcast clouds
286,Atbasar,KZ,51.8,68.3333,57.58,61,89,11.3,overcast clouds
287,Lata,PT,40.1629,-8.3327,61.07,59,29,12.19,scattered clouds
288,Carnarvon,AU,-24.8667,113.6333,66.27,72,0,8.05,clear sky
289,Lavrentiya,RU,65.5833,-171.0,11.62,90,49,10.4,scattered clouds
290,Turbat,PK,26.0023,63.044,86.58,23,0,10.54,clear sky
291,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,18.41,few clouds
292,Fortuna,US,40.5982,-124.1573,58.93,78,75,10.36,broken clouds
293,Batsfjord,NO,70.6345,29.7185,28.18,74,40,2.3,scattered clouds
294,Verkhnechusovskiye Gorodki,RU,58.1671,57.1086,31.08,77,55,4.83,broken clouds
295,Saint George,US,37.1041,-113.5841,76.62,15,0,13.0,clear sky
296,Nizhnevartovsk,RU,60.9344,76.5531,35.62,44,0,4.47,clear sky
297,Talaya,RU,61.3833,152.75,8.38,96,34,3.78,scattered clouds
298,Taltal,CL,-25.4,-70.4833,65.66,67,17,5.55,few clouds
299,Mount Isa,AU,-20.7333,139.5,71.37,64,80,11.5,broken clouds
300,Ekhabi,RU,53.5102,142.9671,27.19,97,65,4.52,broken clouds
301,Surt,LY,31.2089,16.5887,68.25,75,0,27.78,clear sky
302,El Coco,PA,8.8703,-79.815,88.59,74,100,7.05,overcast clouds
303,Susanville,US,40.4163,-120.653,51.66,50,0,8.01,clear sky
304,Beringovskiy,RU,63.05,179.3167,12.47,94,97,12.64,overcast clouds
305,Kashi,CN,39.4547,75.9797,65.41,25,53,6.71,broken clouds
306,Thai Nguyen,VN,21.5928,105.8442,71.38,64,65,4.65,broken clouds
307,Excelsior Springs,US,39.3392,-94.2261,63.59,41,0,14.97,clear sky
308,Rio Gallegos,AR,-51.6226,-69.2181,46.45,57,0,5.75,clear sky
309,Fort Nelson,CA,58.8053,-122.7002,42.39,61,0,5.75,clear sky
310,Erenhot,CN,43.6475,111.9767,54.64,42,53,0.36,broken clouds
311,Pacific Grove,US,36.6177,-121.9166,60.55,74,20,11.01,few clouds
312,Saskylakh,RU,71.9167,114.0833,10.63,96,71,6.08,broken clouds
313,San Cristobal,VE,7.7669,-72.225,86.18,51,98,8.41,overcast clouds
314,Iraucuba,BR,-3.7461,-39.7833,85.86,58,100,7.74,overcast clouds
315,Bolobo,CD,-2.1667,16.2333,74.44,86,70,6.33,light rain
316,Port Augusta,AU,-32.5,137.7667,57.74,58,0,3.04,clear sky
317,Changping,CN,40.2186,116.2197,51.44,34,61,2.08,broken clouds
318,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,12.66,broken clouds
319,Wencheng,CN,33.0559,113.7978,56.71,44,80,10.45,broken clouds
320,Camacha,PT,33.0833,-16.3333,65.62,73,20,13.8,few clouds
321,Russell,US,32.3502,-85.1999,78.12,78,75,0.0,broken clouds
322,Nantucket,US,41.2835,-70.0995,62.71,54,0,6.91,clear sky
323,Shenjiamen,CN,29.9576,122.298,55.74,61,100,3.78,overcast clouds
324,Lasa,IT,46.6166,10.7002,54.48,88,100,3.62,overcast clouds
325,Mitsamiouli,KM,-11.3847,43.2844,81.07,76,64,15.59,light rain
326,Kahului,US,20.8947,-156.47,75.85,83,40,13.8,scattered clouds
327,Juliaca,PE,-15.5,-70.1333,60.37,35,2,4.94,clear sky
328,Clyde River,CA,70.4692,-68.5914,14.23,85,100,13.8,light snow
329,Pacasmayo,PE,-7.4006,-79.5714,71.17,74,51,9.26,broken clouds
330,Samarai,PG,-10.6167,150.6667,79.92,82,49,9.91,heavy intensity rain
331,Pangai,TO,-19.8,-174.35,81.32,84,100,12.57,light rain
332,Yining,CN,29.0361,114.5636,54.64,84,89,1.01,overcast clouds
333,Mwene-Ditu,CD,-7.0,23.45,65.5,98,100,3.65,light rain
334,Marsabit,KE,2.3284,37.9899,67.03,80,100,9.71,overcast clouds
335,Moba,CN,33.2288,105.0179,42.53,69,87,3.22,overcast clouds
336,Kodinsk,RU,58.6881,99.1844,28.69,95,100,3.11,overcast clouds
337,Bulri,PK,24.8667,68.3333,86.99,57,45,17.85,scattered clouds
338,Vao,NC,-22.6667,167.4833,75.42,84,32,21.3,scattered clouds
339,Guapore,BR,-28.8456,-51.8903,62.71,97,100,2.28,overcast clouds
